experiment,mode,variant,lanes,cuvariant,compiler,compiler_ver,flags,stack_policy,copy_policy,nzstack,bcopy,opt_nzmax,minblocks,threads,proc_bind,device,nxp,nyp,nx,ny,ncols,nwet,nz,land_pct,reps,warm,nrun,ms_min,ms_med,ns_per_col,it_outer,it_inner,kd_sum,kd_min,kd_max,regs,local_b,status,git_hash,host,timestamp
nz,serial_do,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",prod,prod,128,0,128,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,10,0,152,2,1,1.9799161375E+00,1.9799161375E+00,1371.133059,1445,4160,2.2026715013E+02,0.0000000000E+00,2.0524172292E+00,,,OK,ad2cde0,Big-Chungus,20260803_053235
nz,serial_do,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",prod,prod,128,0,128,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,30,0,14,2,1,2.1863860560E+01,2.1863860560E+01,15141.177673,1444,28493,3.4001410348E+03,0.0000000000E+00,1.6094409216E+00,,,OK,ad2cde0,Big-Chungus,20260803_053235
nz,serial_do,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=11 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,prod,11,0,11,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,10,0,151,2,1,1.9893980132E+00,1.9893980132E+00,1377.699455,1445,4160,2.2026715013E+02,0.0000000000E+00,2.0524172292E+00,,,OK,ad2cde0,Big-Chungus,20260803_053235
nz,serial_do,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=31 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,prod,31,0,31,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,30,0,14,2,1,2.3034350000E+01,2.3034350000E+01,15951.765928,1444,28493,3.4001410348E+03,0.0000000000E+00,1.6094409216E+00,,,OK,ad2cde0,Big-Chungus,20260803_053235
nz,dc_serial,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 ",prod,prod,128,0,128,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,,,,,10,0,,2,1,NaN,NaN,NaN,NaN,NaN,,,,,,BUILD_FAIL,ad2cde0,Big-Chungus,20260803_053235
nz,dc_serial,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 ",prod,prod,128,0,128,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,,,,,30,0,,2,1,NaN,NaN,NaN,NaN,NaN,,,,,,BUILD_FAIL,ad2cde0,Big-Chungus,20260803_053235
nz,dc_serial,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=11 -DKS_VLEN=1 ",fit,prod,11,0,11,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,10,0,152,2,1,1.9753559211E+00,1.9753559211E+00,1367.975015,1445,4160,2.2026715013E+02,0.0000000000E+00,2.0524172292E+00,,,OK,ad2cde0,Big-Chungus,20260803_053235
nz,dc_serial,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=31 -DKS_VLEN=1 ",fit,prod,31,0,31,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,30,0,14,2,1,2.2949850000E+01,2.2949850000E+01,15893.247922,1444,28493,3.4001410348E+03,0.0000000000E+00,1.6094409216E+00,,,OK,ad2cde0,Big-Chungus,20260803_053235
nz,dc_multicore,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=multicore",prod,prod,128,0,128,0,40,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,10,0,110,2,1,1.8268081818E+00,1.8268081818E+00,1265.102619,1445,4160,2.2026715013E+02,0.0000000000E+00,2.0524172292E+00,,,OK,ad2cde0,Big-Chungus,20260803_053235
nz,dc_multicore,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=multicore",prod,prod,128,0,128,0,40,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,30,0,123,2,1,1.5442430894E+00,1.5442430894E+00,1069.420422,1444,28493,3.4001410348E+03,0.0000000000E+00,1.6094409216E+00,,,OK,ad2cde0,Big-Chungus,20260803_053235
