experiment,mode,impl,launcher,variant,lanes,compiler,compiler_ver,flags,stack_policy,copy_policy,nzstack,bcopy,opt_nzmax,minblocks,threads,proc_bind,device,nxp,nyp,nx,ny,ncols,nwet,nz,land_pct,reps,warm,nrun,ms_min,ms_med,ns_per_col,it_outer,it_inner,kd_sum,kd_min,kd_max,regs,local_b,status,git_hash,host,timestamp
nz,dc_gpu_acc,dc,solo,faithful,1,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",prod,prod,128,0,128,0,1,close,"Tesla V100-DGXS-32GB",473,297,479,303,145137,145137,10,0,100,2,3,4.4284200000E+00,4.4529990000E+00,30.511999,145197,299883,1.7667795128E+04,0.0000000000E+00,2.1728299233E+00,0,0,OK,ad2cde0,Big-Chungus,20260803_065354
nz,dc_gpu_acc,dc,solo,faithful,1,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",prod,prod,128,0,128,0,1,close,"Tesla V100-DGXS-32GB",473,297,479,303,145137,145137,25,0,34,2,3,2.9927791176E+01,2.9940997059E+01,206.203733,145137,2778428,2.4191559953E+05,0.0000000000E+00,1.6641704327E+00,0,0,OK,ad2cde0,Big-Chungus,20260803_065354
nz,dc_gpu_acc,dc,solo,faithful,1,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",prod,prod,128,0,128,0,1,close,"Tesla V100-DGXS-32GB",473,297,479,303,145137,145137,30,0,26,2,3,3.9588076923E+01,3.9635765385E+01,272.763506,145137,2866522,3.2998816625E+05,0.0000000000E+00,1.6473860971E+00,0,0,OK,ad2cde0,Big-Chungus,20260803_065354
nz,dc_gpu_acc,dc,solo,faithful,1,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",prod,prod,128,0,128,0,1,close,"Tesla V100-DGXS-32GB",473,297,479,303,145137,145137,50,0,13,2,3,8.3030169231E+01,8.3031000000E+01,572.081339,145137,2935578,4.9695304208E+05,0.0000000000E+00,1.6157044966E+00,0,0,OK,ad2cde0,Big-Chungus,20260803_065354
nz,dc_gpu_acc,dc,solo,faithful,1,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",prod,prod,128,0,128,0,1,close,"Tesla V100-DGXS-32GB",473,297,479,303,145137,145137,75,0,8,2,3,1.3973212500E+02,1.3974860000E+02,962.760185,145137,2936000,5.1066355936E+05,0.0000000000E+00,1.6167913874E+00,0,0,OK,ad2cde0,Big-Chungus,20260803_065354
nz,dc_gpu_acc,dc,solo,faithful,1,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",prod,prod,128,0,128,0,1,close,"Tesla V100-DGXS-32GB",473,297,479,303,145137,145137,100,0,6,2,3,1.9562936667E+02,1.9568301667E+02,1347.894518,145137,2935887,5.1127272001E+05,0.0000000000E+00,1.6168895263E+00,0,0,OK,ad2cde0,Big-Chungus,20260803_065354
nz,dc_gpu_acc,dc,solo,faithful,1,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=11 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,prod,11,0,11,0,1,close,"Tesla V100-DGXS-32GB",473,297,479,303,145137,145137,10,0,100,2,3,3.8926510000E+00,3.8930320000E+00,26.820528,145197,299883,1.7667795128E+04,0.0000000000E+00,2.1728299233E+00,0,0,OK,ad2cde0,Big-Chungus,20260803_065354
nz,dc_gpu_acc,dc,solo,faithful,1,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=26 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,prod,26,0,26,0,1,close,"Tesla V100-DGXS-32GB",473,297,479,303,145137,145137,25,0,35,2,3,2.8972571429E+01,2.8995457143E+01,199.622229,145137,2778428,2.4191559953E+05,0.0000000000E+00,1.6641704327E+00,0,0,OK,ad2cde0,Big-Chungus,20260803_065354
nz,dc_gpu_acc,dc,solo,faithful,1,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=31 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,prod,31,0,31,0,1,close,"Tesla V100-DGXS-32GB",473,297,479,303,145137,145137,30,0,26,2,3,3.8969388462E+01,3.8971726923E+01,268.500716,145137,2866522,3.2998816625E+05,0.0000000000E+00,1.6473860971E+00,0,0,OK,ad2cde0,Big-Chungus,20260803_065354
nz,dc_gpu_acc,dc,solo,faithful,1,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=51 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,prod,51,0,51,0,1,close,"Tesla V100-DGXS-32GB",473,297,479,303,145137,145137,50,0,13,2,3,8.3320230769E+01,8.3351333333E+01,574.079875,145137,2935578,4.9695304208E+05,0.0000000000E+00,1.6157044966E+00,0,0,OK,ad2cde0,Big-Chungus,20260803_065354
